category,F1,Precision,Recalls
related,0.8894280762564992,0.8356491532783326,0.9506050876759694
request,0.6454767726161369,0.7144790257104194,0.5886287625418061
offer,0.0,0.0,0.0
aid_related,0.6752037252619325,0.691793893129771,0.6593906321055025
medical_help,0.2084942084942085,0.5,0.13170731707317074
medical_products,0.2006269592476489,0.6037735849056604,0.12030075187969924
search_and_rescue,0.013986013986013986,0.3333333333333333,0.007142857142857143
security,0.0,0.0,0.0
military,0.20535714285714288,0.5897435897435898,0.12432432432432433
child_alone,0.0,0.0,0.0
water,0.15025906735751293,0.6444444444444445,0.08504398826979472
food,0.4192355117139335,0.7083333333333334,0.29772329246935203
shelter,0.1766917293233083,0.6266666666666667,0.10284463894967177
clothing,0.24175824175824173,0.6875,0.14666666666666667
money,0.0,0.0,0.0
missing_people,0.0,0.0,0.0
refugees,0.0,0.0,0.0
death,0.23239436619718315,0.7674418604651163,0.13692946058091288
other_aid,0.02699055330634278,0.25,0.014265335235378032
infrastructure_related,0.01095890410958904,0.2222222222222222,0.0056179775280898875
transport,0.07003891050583658,0.8181818181818182,0.036585365853658534
buildings,0.027027027027027025,0.36363636363636365,0.014035087719298246
electricity,0.0,0.0,0.0
tools,0.0,0.0,0.0
hospitals,0.0,0.0,0.0
shops,0.0,0.0,0.0
aid_centers,0.0,0.0,0.0
other_infrastructure,0.0,0.0,0.0
weather_related,0.640926640926641,0.7504520795660036,0.5592991913746631
floods,0.41206030150753764,0.7192982456140351,0.2887323943661972
storm,0.43490701001430615,0.7169811320754716,0.31211498973305957
fire,0.0,0.0,0.0
earthquake,0.4218289085545723,0.8461538461538461,0.28094302554027506
cold,0.034782608695652174,0.5,0.018018018018018018
other_weather,0.06309148264984227,0.5882352941176471,0.03333333333333333
direct_report,0.5787997756590018,0.6710013003901171,0.5088757396449705
